Location,Category,Product,Weather,Temperature(°C),Humidity(%),Demand Level,Suggested Price Min (₹/kg),Suggested Price Max (₹/kg)
Chennai,Vegetable,Onion,Mist,26.5,85,Medium,36,39
Coimbatore,Vegetable,Tomato,"Cloudy, chance of rain",28.0,75,High,44,48
Kancheepuram,Fruit,Banana,Mist,27.0,80,Medium,29,32
Madurai,Vegetable,Potato,"Cloudy, chance of rain",28.5,70,Medium,28,32
Salem,Fruit,Mango,"Cloudy, chance of rain",29.0,70,Medium,60,66
Thanjavur,Vegetable,Cabbage,"Cloudy, isolated rain",29.0,75,Low,14,18
Tiruchirappalli,Vegetable,Brinjal,"Cloudy, isolated rain",28.5,70,Medium,30,35
Erode,Fruit,Guava,"Cloudy, chance of rain",27.5,70,Low,53,58
Viluppuram,Vegetable,Chilli,"Cloudy, isolated rain",27.0,80,High,80,100
Pudukkottai,Fruit,Papaya,"Cloudy, chance of rain",28.5,75,Medium,38,42
Dindigul,Vegetable,Carrot,"Cloudy, chance of rain",24.0,80,Medium,48,55
Krishnagiri,Fruit,Apple,Partly Cloudy,21.0,68,Medium,166,212
Tiruvallur,Vegetable,Okra,"Cloudy, chance of rain",27.0,82,Medium,25,29
Cuddalore,Vegetable,Tomato,"Cloudy, isolated rain",28.0,86,High,42,46
Nagapattinam,Fruit,Banana,"Cloudy, isolated rain",27.0,83,Medium,30,33
Kanyakumari,Vegetable,Cabbage,"Cloudy, isolated rain",25.0,86,Low,15,19
Theni,Fruit,Grapes,Partly Cloudy,23.0,70,Medium,50,55
Dharmapuri,Vegetable,Onion,"Cloudy, chance of rain",28.0,72,Medium,35,38
Vellore,Fruit,Mango,Partly Cloudy,27.0,83,Medium,62,68
Tiruppur,Vegetable,Brinjal,"Cloudy, chance of rain",27.0,73,Medium,31,36
Ramanathapuram,Fruit,Watermelon,"Cloudy, isolated rain",29.0,80,Low,20,25
Sivaganga,Vegetable,Potato,"Cloudy, isolated rain",28.0,78,Medium,27,31
Thoothukudi,Fruit,Pomegranate,"Cloudy, isolated rain",29.5,84,Medium,120,150
Tirunelveli,Vegetable,Chilli,"Cloudy, chance of rain",28.0,78,High,75,95
